Analysis Time;Product Name;Product Code;Sample Type;Sample Number;Sample Comment;Instrument Name;Instrument Serial Number;Humedad;Standard Deviation Humedad;Min Humedad;Max Humedad;Global H Humedad;Neighbourhood H Humedad;t-statistics Humedad;Ref Humedad;Grasa;Standard Deviation Grasa;Min Grasa;Max Grasa;Global H Grasa;Neighbourhood H Grasa;t-statistics Grasa;Ref Grasa;Cenizas;Standard Deviation Cenizas;Min Cenizas;Max Cenizas;Global H Cenizas;Neighbourhood H Cenizas;Ref Cenizas;pH;Standard Deviation pH;Min pH;Max pH;Global H pH;Neighbourhood H pH;t-statistics pH;Ref pH;Cup id;Cup type
01/02/2022 20:14;CACAO (POLVO);CACAO_POLVO;Normal;209/22;;NIRS DS3 F;91889831;2.36;0.01;2.341;2.37;0.81;0.2;-0.23;3.5;10.96;0.031;10.919;11.012;0.76;0.07;;11.03;;;;;;;;6.88;0.076;6.753;6.991;0.81;0.2;-0.34;6.68;82125;2501
01/02/2022 20:15;CACAO (POLVO);CACAO_POLVO;Normal;212/22;;NIRS DS3 F;91889831;2.5;0.008;2.483;2.506;1.21;0.3;0.03;3.75;11.31;0.024;11.258;11.335;0.09;0;;11.32;;;;;;;;5.77;0.043;5.706;5.821;1.21;0.3;-1.36;6.43;82139;2501
01/02/2022 20:16;CACAO (POLVO);CACAO_POLVO;Normal;215/22;;NIRS DS3 F;91889831;2.49;0.007;2.471;2.492;0.8;0.17;0.01;3.69;11.19;0.033;11.134;11.234;0.41;0;;11.23;;;;;;;;5.73;0.078;5.619;5.845;0.8;0.17;-1.4;5.55;82125;2501
01/02/2022 20:30;CACAO (POLVO);CACAO_POLVO;Normal;216/22;;NIRS DS3 F;91889831;2.49;0.005;2.483;2.498;0.89;0.2;0.02;3.76;11.27;0.029;11.233;11.307;0.14;0;;11.39;;;;;;;;5.68;0.045;5.611;5.725;0.89;0.2;-1.45;5.49;82125;2501
01/02/2022 20:31;CACAO (TORTA);CACAO_TORTA;Normal;219/22;;NIRS DS3 F;91889831;1.62;0.049;1.513;1.664;0.55;0.16;0.1;2.56;10.42;0.068;10.331;10.522;0.55;0.16;-0.76;11.1;;;;;;;;7.78;0.099;7.669;7.936;0.55;0.16;0.4;7.45;82139;2501
01/02/2022 20:32;CACAO (TORTA);CACAO_TORTA;Normal;220/22;;NIRS DS3 F;91889831;1.52;0.057;1.445;1.605;0.63;0.2;-0.09;2.51;10.41;0.032;10.371;10.454;0.63;0.2;-0.76;11.03;;;;;;;;7.68;0.117;7.463;7.823;0.63;0.2;0.3;7.39;82125;2501
01/02/2022 20:33;CACAO (TORTA);CACAO_TORTA;Normal;221/22;;NIRS DS3 F;91889831;1.5;0.061;1.404;1.591;0.54;0.25;-0.15;2.58;10.54;0.075;10.437;10.638;0.54;0.25;-0.72;11.22;;;;;;;;8.04;0.152;7.836;8.24;0.54;0.25;0.63;7.53;82139;2501
01/02/2022 20:35;CACAO (TORTA);CACAO_TORTA;Normal;222/22;;NIRS DS3 F;91889831;1.58;0.079;1.466;1.683;0.42;0.11;0.03;2.9;10.41;0.059;10.338;10.476;0.42;0.11;-0.76;10.51;;;;;;;;8.04;0.166;7.837;8.253;0.42;0.11;0.63;7.51;82125;2501
01/02/2022 20:36;CACAO (TORTA);CACAO_TORTA;Normal;223/22;;NIRS DS3 F;91889831;2.03;0.06;1.949;2.116;0.84;0.35;0.99;3.71;11.1;0.037;11.059;11.173;0.84;0.35;-0.57;11.22;;;;;;;;6.07;0.172;5.775;6.227;0.84;0.35;-1.18;5.52;82139;2501
01/02/2022 20:37;CACAO (TORTA);CACAO_TORTA;Normal;224/22;;NIRS DS3 F;91889831;1.87;0.064;1.785;1.953;1.05;0.45;0.63;3.39;11.38;0.084;11.28;11.494;1.05;0.45;-0.49;11.63;;;;;;;;6.06;0.115;5.875;6.215;1.05;0.45;-1.19;5.56;82125;2501
